Tamanio,Iteracion,Ntiradas_Ganar,LineaGanadora
4,0,15,D
4,1,16,V
4,2,16,N
4,3,16,N
4,4,16,D
4,5,11,V
4,6,16,N
4,7,14,H
4,8,11,H
4,9,16,N
4,10,16,N
4,11,15,H
4,12,9,D
4,13,10,V
4,14,16,H
4,15,12,H
4,16,16,N
4,17,16,H
4,18,16,N
4,19,16,N
4,20,14,D
4,21,16,N
4,22,14,H
4,23,16,N
4,24,14,D
4,25,15,H
4,26,16,N
4,27,16,H
4,28,14,V
4,29,16,N
4,30,13,V
4,31,16,N
4,32,16,N
4,33,15,V
4,34,11,V
4,35,16,H
4,36,16,N
4,37,16,N
4,38,16,H
4,39,16,N
4,40,16,H
4,41,15,H
4,42,16,V
4,43,16,N
4,44,16,N
4,45,11,V
4,46,14,V
4,47,14,D
4,48,16,N
4,49,13,H
4,50,13,D
4,51,7,V
4,52,16,N
4,53,15,H
4,54,16,N
4,55,16,N
4,56,16,V
4,57,15,D
4,58,14,V
4,59,16,V
4,60,16,N
4,61,16,N
4,62,16,N
4,63,11,H
4,64,9,V
4,65,16,N
4,66,16,H
4,67,16,N
4,68,13,V
4,69,16,N
4,70,16,H
4,71,15,D
4,72,12,D
4,73,12,H
4,74,16,N
4,75,16,V
4,76,13,D
4,77,11,D
4,78,16,N
4,79,16,N
4,80,13,H
4,81,15,D
4,82,16,N
4,83,15,D
4,84,15,V
4,85,15,V
4,86,15,H
4,87,16,N
4,88,16,N
4,89,14,V
4,90,16,N
4,91,16,N
4,92,14,H
4,93,10,H
4,94,15,V
4,95,12,D
4,96,16,N
4,97,16,V
4,98,16,N
4,99,14,H
4,100,16,V
4,101,16,N
4,102,9,D
4,103,13,H
4,104,15,V
4,105,11,V
4,106,15,V
4,107,16,N
4,108,16,N
4,109,13,H
4,110,12,H
4,111,16,N
4,112,15,H
4,113,16,V
4,114,9,D
4,115,16,N
4,116,15,V
4,117,16,N
4,118,16,N
4,119,7,V
4,120,15,V
4,121,13,V
4,122,12,V
4,123,15,H
4,124,16,N
4,125,14,H
4,126,11,D
4,127,13,V
4,128,12,V
4,129,16,N
4,130,16,N
4,131,16,N
4,132,16,D
4,133,16,N
4,134,15,V
4,135,16,H
4,136,14,V
4,137,13,V
4,138,14,H
4,139,11,H
4,140,13,H
4,141,14,V
4,142,16,N
4,143,16,N
4,144,16,N
4,145,16,N
4,146,16,N
4,147,16,V
4,148,12,V
4,149,11,V
4,150,16,D
4,151,15,V
4,152,16,N
4,153,9,V
4,154,16,N
4,155,15,D
4,156,10,H
4,157,12,D
4,158,16,N
4,159,16,N
4,160,16,N
4,161,16,N
4,162,13,V
4,163,13,H
4,164,16,N
4,165,15,H
4,166,11,H
4,167,12,V
4,168,15,H
4,169,15,H
4,170,16,N
4,171,12,V
4,172,13,V
4,173,15,H
4,174,16,N
4,175,16,N
4,176,15,H
4,177,16,D
4,178,16,N
4,179,14,D
4,180,14,V
4,181,15,H
4,182,16,N
4,183,16,N
4,184,16,N
4,185,16,N
4,186,16,N
4,187,16,H
4,188,11,H
4,189,16,N
4,190,15,D
4,191,15,D
4,192,12,H
4,193,16,N
4,194,16,N
4,195,16,D
4,196,13,V
4,197,16,N
4,198,11,D
4,199,12,V
4,200,11,H
4,201,16,N
4,202,15,V
4,203,15,V
4,204,16,N
4,205,13,V
4,206,16,N
4,207,14,V
4,208,16,N
4,209,15,H
4,210,16,N
4,211,14,D
4,212,12,D
4,213,16,H
4,214,16,N
4,215,15,D
4,216,14,D
4,217,13,V
4,218,13,D
4,219,11,H
4,220,16,N
4,221,16,N
4,222,12,D
4,223,14,D
4,224,7,H
4,225,16,N
4,226,15,D
4,227,9,D
4,228,9,H
4,229,16,N
4,230,13,H
4,231,16,N
4,232,16,N
4,233,16,N
4,234,16,N
4,235,16,N
4,236,16,N
4,237,16,N
4,238,9,H
4,239,15,D
4,240,14,V
4,241,16,N
4,242,16,N
4,243,16,N
4,244,15,D
4,245,16,N
4,246,11,H
4,247,16,N
4,248,16,N
4,249,16,V
4,250,15,H
4,251,16,N
4,252,14,V
4,253,16,N
4,254,16,N
4,255,13,V
4,256,14,V
4,257,14,V
4,258,15,V
4,259,15,D
4,260,13,H
4,261,16,V
4,262,9,H
4,263,10,H
4,264,16,V
4,265,15,H
4,266,16,V
4,267,11,D
4,268,12,H
4,269,16,N
4,270,10,H
4,271,16,N
4,272,16,N
4,273,11,H
4,274,11,V
4,275,16,N
4,276,10,H
4,277,16,N
4,278,15,H
4,279,16,N
4,280,16,V
4,281,13,H
4,282,14,D
4,283,16,N
4,284,15,D
4,285,16,N
4,286,16,N
4,287,16,N
4,288,15,H
4,289,15,H
4,290,16,N
4,291,15,H
4,292,16,N
4,293,16,N
4,294,16,N
4,295,16,N
4,296,15,V
4,297,16,D
4,298,16,N
4,299,15,V
4,300,15,V
4,301,16,V
4,302,15,H
4,303,16,N
4,304,16,D
4,305,13,H
4,306,11,D
4,307,16,N
4,308,16,N
4,309,16,N
4,310,12,H
4,311,16,N
4,312,16,N
4,313,16,V
4,314,11,V
4,315,16,N
4,316,16,N
4,317,16,N
4,318,13,H
4,319,13,H
4,320,15,D
4,321,16,N
4,322,16,N
4,323,15,H
4,324,15,D
4,325,13,V
4,326,15,H
4,327,16,N
4,328,12,V
4,329,16,N
4,330,7,H
4,331,15,V
4,332,13,D
4,333,16,N
4,334,16,N
4,335,16,N
4,336,12,V
4,337,16,N
4,338,16,V
4,339,16,N
4,340,16,N
4,341,16,N
4,342,16,N
4,343,16,N
4,344,15,H
4,345,16,N
4,346,12,D
4,347,16,N
4,348,16,N
4,349,14,H
4,350,13,D
4,351,15,H
4,352,16,N
4,353,13,D
4,354,16,N
4,355,15,H
4,356,14,V
4,357,15,V
4,358,13,V
4,359,16,N
4,360,11,H
4,361,16,N
4,362,10,V
4,363,13,H
4,364,14,H
4,365,16,N
4,366,15,V
4,367,12,V
4,368,16,N
4,369,15,D
4,370,12,H
4,371,16,N
4,372,16,N
4,373,16,N
4,374,16,N
4,375,14,H
4,376,16,N
4,377,13,H
4,378,15,V
4,379,12,H
4,380,14,H
4,381,14,V
4,382,16,V
4,383,16,H
4,384,13,H
4,385,16,N
4,386,16,D
4,387,16,N
4,388,16,N
4,389,16,N
4,390,16,N
4,391,16,V
4,392,14,D
4,393,13,H
4,394,14,V
4,395,16,N
4,396,14,H
4,397,16,N
4,398,16,N
4,399,16,H
4,400,15,V
4,401,15,H
4,402,16,N
4,403,15,H
4,404,15,H
4,405,16,N
4,406,16,N
4,407,16,N
4,408,16,N
4,409,16,N
4,410,12,H
4,411,15,V
4,412,16,N
4,413,16,V
4,414,10,H
4,415,16,N
4,416,12,V
4,417,15,D
4,418,16,N
4,419,14,H
4,420,16,N
4,421,16,N
4,422,11,D
4,423,12,H
4,424,14,H
4,425,16,N
4,426,14,V
4,427,16,N
4,428,16,N
4,429,15,V
4,430,15,D
4,431,14,D
4,432,13,V
4,433,14,V
4,434,16,N
4,435,16,N
4,436,12,D
4,437,16,N
4,438,11,V
4,439,15,H
4,440,12,V
4,441,15,V
4,442,16,D
4,443,15,D
4,444,15,H
4,445,13,D
4,446,15,V
4,447,16,N
4,448,15,D
4,449,16,N
4,450,10,V
4,451,16,N
4,452,13,V
4,453,15,D
4,454,13,D
4,455,11,D
4,456,15,D
4,457,13,V
4,458,16,N
4,459,12,H
4,460,12,D
4,461,11,D
4,462,11,V
4,463,14,V
4,464,13,V
4,465,16,V
4,466,16,N
4,467,16,D
4,468,16,N
4,469,16,N
4,470,16,N
4,471,16,N
4,472,16,N
4,473,16,N
4,474,16,N
4,475,11,H
4,476,16,N
4,477,16,N
4,478,12,D
4,479,16,N
4,480,11,V
4,481,12,V
4,482,14,H
4,483,12,H
4,484,16,N
4,485,15,H
4,486,16,N
4,487,16,V
4,488,14,H
4,489,16,N
4,490,16,H
4,491,16,N
4,492,9,V
4,493,16,N
4,494,11,H
4,495,16,N
4,496,16,N
4,497,13,V
4,498,16,N
4,499,11,V
4,500,11,D
4,501,16,N
4,502,16,N
4,503,16,N
4,504,16,D
4,505,14,D
4,506,14,V
4,507,16,N
4,508,16,N
4,509,11,D
4,510,16,N
4,511,16,H
4,512,16,V
4,513,16,N
4,514,16,H
4,515,15,V
4,516,13,H
4,517,15,V
4,518,14,D
4,519,16,N
4,520,15,D
4,521,13,D
4,522,16,H
4,523,16,N
4,524,16,H
4,525,15,V
4,526,14,H
4,527,16,V
4,528,13,V
4,529,10,V
4,530,13,V
4,531,9,V
4,532,16,N
4,533,16,N
4,534,16,N
4,535,15,H
4,536,16,N
4,537,16,H
4,538,15,V
4,539,14,H
4,540,16,N
4,541,16,N
4,542,15,V
4,543,16,N
4,544,11,H
4,545,16,N
4,546,16,H
4,547,16,N
4,548,11,V
4,549,9,H
4,550,14,H
4,551,12,D
4,552,16,N
4,553,16,N
4,554,16,N
4,555,7,D
4,556,15,H
4,557,11,H
4,558,16,D
4,559,16,N
4,560,14,H
4,561,9,V
4,562,15,D
4,563,16,H
4,564,15,D
4,565,16,N
4,566,16,N
4,567,16,N
4,568,16,N
4,569,12,H
4,570,15,V
4,571,14,V
4,572,11,H
4,573,16,N
4,574,16,H
4,575,15,V
4,576,16,N
4,577,16,N
4,578,16,N
4,579,15,V
4,580,16,N
4,581,12,V
4,582,16,N
4,583,16,N
4,584,16,N
4,585,13,V
4,586,16,N
4,587,16,N
4,588,15,V
4,589,13,V
4,590,13,D
4,591,15,H
4,592,16,N
4,593,9,V
4,594,15,H
4,595,16,N
4,596,16,N
4,597,16,N
4,598,14,V
4,599,16,N
4,600,16,N
4,601,14,V
4,602,16,H
4,603,16,N
4,604,11,H
4,605,14,D
4,606,13,V
4,607,11,V
4,608,15,H
4,609,12,H
4,610,16,N
4,611,16,N
4,612,15,V
4,613,16,N
4,614,9,H
4,615,16,N
4,616,16,V
4,617,16,N
4,618,16,N
4,619,16,N
4,620,16,N
4,621,16,H
4,622,9,D
4,623,16,N
4,624,16,N
4,625,16,N
4,626,14,V
4,627,16,N
4,628,16,N
4,629,12,D
4,630,16,N
4,631,16,N
4,632,11,V
4,633,16,N
4,634,15,D
4,635,16,N
4,636,14,H
4,637,16,H
4,638,16,N
4,639,15,H
4,640,12,D
4,641,16,N
4,642,11,H
4,643,16,N
4,644,16,N
4,645,14,H
4,646,12,D
4,647,11,V
4,648,16,N
4,649,13,H
4,650,13,H
4,651,16,N
4,652,15,D
4,653,15,V
4,654,16,V
4,655,14,D
4,656,13,H
4,657,16,D
4,658,16,N
4,659,16,N
4,660,16,N
4,661,16,N
4,662,16,N
4,663,16,N
4,664,14,H
4,665,16,H
4,666,12,V
4,667,16,N
4,668,16,N
4,669,12,V
4,670,12,H
4,671,16,N
4,672,15,H
4,673,16,N
4,674,14,D
4,675,16,N
4,676,11,V
4,677,16,D
4,678,11,H
4,679,16,N
4,680,11,V
4,681,16,N
4,682,16,N
4,683,16,N
4,684,16,N
4,685,16,N
4,686,12,D
4,687,10,H
4,688,16,D
4,689,14,V
4,690,15,H
4,691,15,V
4,692,16,N
4,693,14,V
4,694,16,N
4,695,16,N
4,696,16,H
4,697,16,N
4,698,15,H
4,699,9,H
4,700,16,V
4,701,11,V
4,702,16,N
4,703,16,N
4,704,16,N
4,705,16,D
4,706,16,D
4,707,11,H
4,708,16,N
4,709,14,V
4,710,16,N
4,711,16,D
4,712,14,H
4,713,14,H
4,714,14,H
4,715,16,V
4,716,16,N
4,717,16,N
4,718,9,H
4,719,16,N
4,720,14,H
4,721,16,N
4,722,10,V
4,723,16,N
4,724,15,H
4,725,13,H
4,726,16,D
4,727,13,V
4,728,15,H
4,729,16,N
4,730,13,H
4,731,16,V
4,732,16,N
4,733,16,N
4,734,13,V
4,735,14,H
4,736,11,H
4,737,16,N
4,738,13,V
4,739,14,H
4,740,15,D
4,741,16,V
4,742,16,N
4,743,15,V
4,744,15,H
4,745,16,N
4,746,16,N
4,747,16,V
4,748,16,N
4,749,11,H
4,750,16,N
4,751,15,H
4,752,15,V
4,753,16,N
4,754,14,V
4,755,16,N
4,756,16,N
4,757,12,D
4,758,15,V
4,759,16,N
4,760,16,V
4,761,13,H
4,762,16,N
4,763,13,H
4,764,15,H
4,765,16,V
4,766,13,D
4,767,16,N
4,768,12,V
4,769,9,V
4,770,16,N
4,771,13,V
4,772,16,N
4,773,14,V
4,774,14,H
4,775,16,N
4,776,16,N
4,777,13,H
4,778,16,N
4,779,10,V
4,780,16,N
4,781,15,H
4,782,11,H
4,783,15,D
4,784,16,V
4,785,15,V
4,786,12,V
4,787,16,N
4,788,15,H
4,789,16,N
4,790,12,H
4,791,14,H
4,792,16,N
4,793,11,D
4,794,16,N
4,795,16,N
4,796,16,N
4,797,15,V
4,798,16,N
4,799,16,N
4,800,15,H
4,801,13,V
4,802,16,N
4,803,14,D
4,804,13,H
4,805,14,H
4,806,16,H
4,807,13,V
4,808,15,V
4,809,16,N
4,810,16,N
4,811,16,N
4,812,16,N
4,813,16,N
4,814,13,H
4,815,11,V
4,816,15,D
4,817,14,H
4,818,14,H
4,819,15,V
4,820,14,V
4,821,16,N
4,822,16,N
4,823,16,H
4,824,16,H
4,825,13,D
4,826,16,N
4,827,7,V
4,828,12,V
4,829,14,V
4,830,16,N
4,831,16,V
4,832,15,H
4,833,16,N
4,834,16,H
4,835,15,V
4,836,15,H
4,837,15,V
4,838,16,D
4,839,16,N
4,840,13,V
4,841,11,V
4,842,13,D
4,843,16,H
4,844,16,V
4,845,16,V
4,846,16,N
4,847,14,V
4,848,16,N
4,849,16,N
4,850,16,N
4,851,13,V
4,852,16,N
4,853,16,N
4,854,15,D
4,855,16,N
4,856,16,N
4,857,16,N
4,858,8,H
4,859,15,H
4,860,16,N
4,861,16,N
4,862,15,H
4,863,16,N
4,864,15,V
4,865,16,N
4,866,16,N
4,867,16,V
4,868,14,H
4,869,16,N
4,870,16,D
4,871,11,H
4,872,14,D
4,873,11,V
4,874,16,N
4,875,11,D
4,876,16,N
4,877,16,N
4,878,16,N
4,879,16,N
4,880,16,N
4,881,15,V
4,882,16,N
4,883,8,V
4,884,15,V
4,885,16,N
4,886,13,D
4,887,16,V
4,888,16,N
4,889,16,N
4,890,16,N
4,891,16,D
4,892,14,V
4,893,16,H
4,894,13,V
4,895,8,H
4,896,16,V
4,897,16,N
4,898,15,V
4,899,13,H
4,900,15,D
4,901,16,N
4,902,15,D
4,903,13,H
4,904,12,H
4,905,12,H
4,906,16,N
4,907,16,N
4,908,12,H
4,909,16,N
4,910,15,H
4,911,11,H
4,912,15,V
4,913,16,N
4,914,16,N
4,915,15,V
4,916,16,N
4,917,16,N
4,918,9,V
4,919,16,N
4,920,15,D
4,921,16,N
4,922,14,V
4,923,15,H
4,924,13,H
4,925,9,V
4,926,16,N
4,927,16,N
4,928,12,H
4,929,9,H
4,930,16,H
4,931,16,N
4,932,7,D
4,933,15,D
4,934,13,V
4,935,16,H
4,936,16,N
4,937,11,D
4,938,8,H
4,939,15,D
4,940,16,N
4,941,16,N
4,942,16,N
4,943,16,N
4,944,16,N
4,945,13,V
4,946,16,N
4,947,10,V
4,948,15,V
4,949,15,D
4,950,14,H
4,951,16,N
4,952,16,D
4,953,16,N
4,954,16,N
4,955,16,N
4,956,14,H
4,957,16,N
4,958,11,D
4,959,16,N
4,960,16,D
4,961,16,D
4,962,12,H
4,963,16,H
4,964,16,N
4,965,14,D
4,966,14,V
4,967,16,N
4,968,16,N
4,969,16,N
4,970,16,H
4,971,16,N
4,972,14,V
4,973,15,H
4,974,15,H
4,975,16,V
4,976,13,H
4,977,12,V
4,978,16,N
4,979,16,N
4,980,9,H
4,981,16,N
4,982,15,H
4,983,16,N
4,984,16,N
4,985,16,N
4,986,15,H
4,987,13,D
4,988,15,H
4,989,14,V
4,990,10,V
4,991,11,V
4,992,16,H
4,993,13,D
4,994,16,N
4,995,16,H
4,996,16,N
4,997,16,D
4,998,13,V
4,999,16,H
4,1000,13,H
4,1001,16,N
4,1002,14,D
4,1003,14,V
4,1004,14,V
4,1005,16,N
4,1006,16,N
4,1007,16,V
4,1008,16,D
4,1009,12,V
4,1010,15,H
4,1011,15,V
4,1012,16,N
4,1013,16,N
4,1014,16,N
4,1015,16,V
4,1016,13,H
4,1017,15,V
4,1018,16,N
4,1019,13,V
4,1020,14,H
4,1021,16,N
4,1022,13,H
4,1023,16,H
4,1024,16,N
4,1025,15,V
4,1026,15,V
4,1027,16,N
4,1028,16,N
4,1029,16,H
4,1030,8,H
4,1031,16,N
4,1032,15,H
4,1033,13,V
4,1034,13,V
4,1035,16,N
4,1036,16,N
4,1037,16,N
4,1038,15,V
4,1039,16,H
4,1040,16,N
4,1041,10,H
4,1042,13,D
4,1043,16,N
4,1044,15,V
4,1045,16,N
4,1046,16,N
4,1047,16,N
4,1048,16,N
4,1049,16,N
4,1050,13,H
4,1051,15,H
4,1052,16,V
4,1053,14,V
4,1054,15,H
4,1055,15,V
4,1056,15,V
4,1057,16,N
4,1058,15,H
4,1059,13,D
4,1060,16,V
4,1061,10,V
4,1062,16,N
4,1063,16,N
4,1064,13,H
4,1065,16,N
4,1066,13,V
4,1067,16,N
4,1068,16,N
4,1069,16,H
4,1070,16,N
4,1071,16,N
4,1072,16,N
4,1073,16,N
4,1074,16,H
4,1075,16,N
4,1076,16,N
4,1077,11,V
4,1078,16,V
4,1079,16,N
4,1080,16,N
4,1081,16,N
4,1082,14,D
4,1083,16,N
4,1084,16,H
4,1085,14,H
4,1086,12,H
4,1087,16,N
4,1088,12,V
4,1089,16,N
4,1090,16,N
4,1091,14,D
4,1092,16,N
4,1093,16,H
4,1094,16,V
4,1095,8,H
4,1096,16,N
4,1097,16,N
4,1098,16,N
4,1099,16,N
4,1100,14,D
4,1101,10,H
4,1102,13,D
4,1103,16,N
4,1104,16,V
4,1105,16,N
4,1106,16,D
4,1107,12,D
4,1108,11,H
4,1109,15,D
4,1110,15,D
4,1111,15,H
4,1112,16,N
4,1113,15,H
4,1114,15,H
4,1115,9,H
4,1116,16,N
4,1117,15,V
4,1118,16,N
4,1119,16,N
4,1120,12,V
4,1121,9,V
4,1122,16,V
4,1123,16,D
4,1124,13,V
4,1125,14,D
4,1126,16,N
4,1127,15,H
4,1128,16,N
4,1129,16,N
4,1130,8,V
4,1131,16,N
4,1132,16,N
4,1133,13,H
4,1134,16,N
4,1135,16,V
4,1136,16,N
4,1137,11,H
4,1138,16,N
4,1139,16,N
4,1140,16,N
4,1141,13,H
4,1142,16,H
4,1143,11,H
4,1144,15,H
4,1145,16,N
4,1146,13,H
4,1147,16,D
4,1148,10,H
4,1149,16,V
4,1150,9,D
4,1151,12,V
4,1152,14,V
4,1153,16,N
4,1154,16,N
4,1155,16,N
4,1156,16,N
4,1157,16,N
4,1158,16,N
4,1159,16,D
4,1160,16,N
4,1161,16,V
4,1162,16,N
4,1163,16,N
4,1164,9,H
4,1165,15,V
4,1166,16,N
4,1167,14,H
4,1168,16,H
4,1169,11,V
4,1170,16,D
4,1171,16,N
4,1172,16,D
4,1173,16,D
4,1174,16,N
4,1175,11,H
4,1176,16,V
4,1177,16,N
4,1178,16,N
4,1179,16,N
4,1180,16,N
4,1181,16,N
4,1182,16,N
4,1183,15,D
4,1184,11,V
4,1185,16,N
4,1186,15,H
4,1187,11,H
4,1188,13,D
4,1189,15,V
4,1190,16,N
4,1191,9,D
4,1192,16,V
4,1193,9,D
4,1194,16,N
4,1195,16,N
4,1196,12,V
4,1197,16,V
4,1198,16,N
4,1199,15,H
4,1200,16,N
4,1201,16,H
4,1202,15,D
4,1203,11,D
4,1204,16,N
4,1205,16,N
4,1206,14,H
4,1207,14,V
4,1208,14,H
4,1209,15,H
4,1210,16,N
4,1211,12,V
4,1212,16,N
4,1213,12,V
4,1214,16,N
4,1215,16,N
4,1216,15,V
4,1217,16,N
4,1218,15,H
4,1219,15,D
4,1220,16,N
4,1221,14,H
4,1222,12,V
4,1223,15,V
4,1224,16,N
4,1225,15,D
4,1226,16,N
4,1227,16,N
4,1228,16,N
4,1229,14,V
4,1230,16,N
4,1231,16,N
4,1232,16,N
4,1233,14,V
4,1234,16,N
4,1235,16,N
4,1236,11,H
4,1237,16,N
4,1238,16,N
4,1239,11,V
4,1240,16,D
4,1241,16,N
4,1242,16,N
4,1243,16,N
4,1244,15,V
4,1245,16,N
4,1246,15,D
4,1247,12,H
4,1248,16,N
4,1249,16,N
4,1250,15,V
4,1251,16,N
4,1252,15,D
4,1253,12,V
4,1254,11,H
4,1255,12,D
4,1256,15,D
4,1257,10,H
4,1258,16,V
4,1259,16,N
4,1260,16,N
4,1261,9,V
4,1262,12,D
4,1263,11,V
4,1264,16,N
4,1265,15,V
4,1266,13,V
4,1267,16,N
4,1268,13,D
4,1269,16,N
4,1270,16,N
4,1271,16,N
4,1272,16,N
4,1273,14,V
4,1274,13,H
4,1275,13,H
4,1276,10,V
4,1277,15,H
4,1278,16,N
4,1279,11,D
4,1280,14,V
4,1281,16,N
4,1282,16,N
4,1283,16,N
4,1284,16,H
4,1285,16,N
4,1286,14,H
4,1287,9,D
4,1288,16,N
4,1289,16,N
4,1290,14,H
4,1291,16,N
4,1292,16,H
4,1293,14,V
4,1294,13,V
4,1295,16,N
4,1296,16,N
4,1297,13,D
4,1298,16,N
4,1299,11,V
4,1300,16,N
4,1301,11,V
4,1302,13,H
4,1303,16,N
4,1304,15,H
4,1305,16,D
4,1306,13,V
4,1307,12,D
4,1308,12,V
4,1309,15,H
4,1310,13,D
4,1311,16,H
4,1312,11,D
4,1313,12,D
4,1314,16,N
4,1315,9,H
4,1316,13,H
4,1317,13,V
4,1318,10,V
4,1319,12,V
4,1320,16,N
4,1321,14,V
4,1322,16,N
4,1323,15,D
4,1324,16,N
4,1325,16,N
4,1326,13,H
4,1327,16,N
4,1328,16,N
4,1329,16,D
4,1330,13,H
4,1331,15,D
4,1332,16,N
4,1333,12,H
4,1334,16,N
4,1335,16,N
4,1336,16,N
4,1337,12,D
4,1338,16,N
4,1339,13,V
4,1340,15,H
4,1341,15,H
4,1342,16,N
4,1343,16,N
4,1344,16,N
4,1345,16,V
4,1346,16,N
4,1347,16,N
4,1348,16,N
4,1349,16,N
4,1350,15,V
4,1351,16,N
4,1352,9,V
4,1353,16,N
4,1354,16,N
4,1355,13,H
4,1356,15,V
4,1357,10,H
4,1358,15,H
4,1359,16,H
4,1360,16,N
4,1361,10,H
4,1362,16,N
4,1363,16,N
4,1364,14,V
4,1365,10,V
4,1366,13,D
4,1367,13,D
4,1368,16,V
4,1369,16,V
4,1370,13,V
4,1371,16,N
4,1372,14,H
4,1373,15,V
4,1374,15,V
4,1375,16,N
4,1376,16,V
4,1377,14,H
4,1378,16,N
4,1379,14,H
4,1380,16,N
4,1381,16,V
4,1382,16,N
4,1383,11,H
4,1384,16,N
4,1385,12,D
4,1386,16,N
4,1387,15,V
4,1388,14,V
4,1389,9,V
4,1390,11,V
4,1391,15,V
4,1392,16,N
4,1393,16,N
4,1394,15,V
4,1395,13,H
4,1396,16,N
4,1397,16,N
4,1398,15,D
4,1399,16,H
4,1400,15,V
4,1401,16,N
4,1402,16,N
4,1403,15,H
4,1404,16,N
4,1405,16,H
4,1406,16,N
4,1407,12,H
4,1408,16,N
4,1409,14,D
4,1410,16,N
4,1411,16,N
4,1412,15,H
4,1413,16,N
4,1414,15,D
4,1415,11,D
4,1416,15,V
4,1417,8,V
4,1418,15,H
4,1419,13,V
4,1420,16,N
4,1421,13,D
4,1422,14,H
4,1423,16,V
4,1424,15,H
4,1425,16,N
4,1426,9,V
4,1427,15,V
4,1428,16,N
4,1429,14,D
4,1430,16,N
4,1431,16,N
4,1432,16,N
4,1433,15,D
4,1434,11,V
4,1435,11,D
4,1436,9,H
4,1437,16,H
4,1438,15,H
4,1439,16,N
4,1440,12,V
4,1441,12,V
4,1442,14,H
4,1443,12,V
4,1444,14,D
4,1445,16,N
4,1446,16,N
4,1447,16,N
4,1448,14,H
4,1449,14,H
4,1450,11,D
4,1451,16,N
4,1452,14,H
4,1453,16,N
4,1454,13,V
4,1455,16,D
4,1456,14,D
4,1457,13,H
4,1458,15,H
4,1459,13,D
4,1460,10,V
4,1461,16,N
4,1462,16,N
4,1463,14,H
4,1464,16,N
4,1465,14,H
4,1466,16,N
4,1467,13,H
4,1468,16,D
4,1469,9,V
4,1470,16,N
4,1471,16,N
4,1472,16,N
4,1473,12,H
4,1474,16,N
4,1475,15,H
4,1476,16,N
4,1477,16,N
4,1478,16,N
4,1479,14,D
4,1480,13,H
4,1481,12,H
4,1482,15,V
4,1483,16,N
4,1484,16,N
4,1485,16,N
